municipality,weather_variable,correlation
Tienen,sunshine_duration,0.47744761285087356
Tienen,precipitation_hours,-0.37379816966308177
Tongeren,temperature,0.5192638649425859
Tongeren,precipitation,-0.3011979712635147
Tongeren,wind_speed,-0.3614770165969344
Tongeren,sunshine_duration,0.5828018042356385
Tongeren,precipitation_hours,-0.4352731940356217
Torhout,temperature,0.4228614732658521
Torhout,precipitation,-0.37325279333569994
Torhout,wind_speed,-0.3519989170366874
Torhout,sunshine_duration,0.4860114078130014
Torhout,precipitation_hours,-0.4460680790238843
Vilvoorde,temperature,0.3832454132774418
Vilvoorde,precipitation,-0.22837321781836684
Vilvoorde,wind_speed,-0.1808334093601862
Vilvoorde,sunshine_duration,0.4376155373775263
Vilvoorde,precipitation_hours,-0.2701993984502046
Wemmel,temperature,0.297750514730125
Wemmel,precipitation,-0.2629399835558086
Wemmel,wind_speed,-0.18866982725811277
Wemmel,sunshine_duration,0.3261369189771541
Wemmel,precipitation_hours,-0.30720124738677024
Wervik,temperature,0.3043860063627172
Wervik,precipitation,-0.2948478904731665
Wervik,wind_speed,-0.2876838542113679
Wervik,sunshine_duration,0.3748579796955508
Wervik,precipitation_hours,-0.3661178114882986
Westerlo,temperature,0.44403084477450266
Westerlo,precipitation,-0.3820485691370786
Westerlo,wind_speed,-0.33710799451110135
Westerlo,sunshine_duration,0.5399901222161708
Westerlo,precipitation_hours,-0.49886936302154306
Zaventem,temperature,0.3752954059551271
Zaventem,precipitation,-0.2734920492374209
Zaventem,wind_speed,-0.3143219778388945
Zaventem,sunshine_duration,0.43776599910560066
Zaventem,precipitation_hours,-0.35270998872001746
Zele,temperature,0.5231111835038242
Zele,precipitation,-0.37632439894016845
Zele,wind_speed,-0.2888117877859211
Zele,sunshine_duration,0.5439802148725699
Zele,precipitation_hours,-0.46723752780639716
Zemst,temperature,0.29779840114512063
Zemst,precipitation,-0.29308918687857455
Zemst,wind_speed,-0.3115417935569423
Zemst,sunshine_duration,0.40085536897571017
Zemst,precipitation_hours,-0.37350626344584387
